University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Yale University,University of Hong Kong,YU-HKU,0.41409612,0.38145852,0.39332795,0.650943,0.44655642,0.34113708,0.830946602,0.833691453
University of Toronto,Harvard University,U of T-HU,0.53704077,0.6041464,0.6485651,0.7449267,0.6694105,0.5486993,0.876749652,0.901058223
University of Toronto,Massachusetts Institute of Technology,U of T-MIT,0.50165886,0.48289338,0.5907888,0.63967127,0.5462091,0.51512367,0.860199844,0.884701704
University of Toronto,Yale University,U of T-YU,0.4852218,0.440404,0.5163274,0.6765306,0.51797825,0.4626496,0.817551404,0.855727569
University of Toronto,University of Illinois,U of T-UIUC,0.51778424,0.5456582,0.60903907,0.6750968,0.6146282,0.6031722,0.851381844,0.869869532
University of Toronto,Carnegie Mellon University,U of T-CMU,0.45884132,0.4692286,0.53602207,0.62240726,0.5923552,0.48656034,0.787130095,0.857253166
University of Toronto,Georgia Institute of Technology,U of T-Georgia Tech,0.44141498,0.3963994,0.5196219,0.6169614,0.54014254,0.4498807,0.848262241,0.848519775
University of Toronto,University of Cambridge,U of T-UCam,0.49405584,0.5395046,0.58816075,0.7160373,0.59029216,0.47845268,0.851622265,0.87952129
University of Toronto,University of Oxford,U of T-Oxon,0.4715494,0.4682057,0.54360783,0.6926195,0.5669436,0.4813923,0.858090865,0.865506165
University of Toronto,University College London,U of T-UCL,0.53454244,0.55319774,0.63508785,0.69936603,0.5940361,0.5410876,0.872011715,0.877189538
University of Toronto,EPFL,U of T-EPFL,0.4950162,0.4482106,0.5543344,0.61990464,0.53464913,0.5058601,0.841396664,0.855553205
University of Toronto,NTU,U of T-NTU,0.5247401,0.51894057,0.5707902,0.7128761,0.60442245,0.54480565,0.871395725,0.873118762
University of Toronto,University of Waterloo,U of T-UWaterloo,0.46352968,0.3879835,0.47910643,0.596532,0.49488625,0.4234683,0.855839776,0.850360145
University of Toronto,University of Hong Kong,U of T-HKU,0.51371247,0.5603338,0.6108096,0.69715476,0.6391414,0.5661271,0.869076699,0.872235146
University of Illinois,Harvard University,UIUC-HU,0.35208473,0.4007864,0.4700888,0.57955486,0.45755804,0.44275013,0.822906658,0.853410104
