Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
Georgia Tech-JHU,0.5335,Georgia Tech-Oxon,0.5039,JHU-Georgia Tech,0.5469,HKU-UEdin,0.6814,EPFL-Oxon,0.5954,UIUC-UCam,0.4927,HKU-UEdin,0.8847,MON-HKU,0.8812
Georgia Tech-UIUC,0.5326,HKU-UIUC,0.5035,EPFL-UIUC,0.5408,Georgia Tech-JHU,0.6787,MON-CMU,0.5938,EPFL-Georgia Tech,0.4926,Georgia Tech-UEdin,0.8845,JHU-Oxon,0.8808
UIUC-CMU,0.53,JHU-UCL,0.5003,UCL-UEdin,0.5399,Georgia Tech-UEdin,0.6765,JHU-UCam,0.5936,EPFL-UEdin,0.4918,UCL-Oxon,0.8836,JHU-HKU,0.8798
CMU-JHU,0.5294,HKU-Oxon,0.499,UIUC-HKU,0.5359,UCL-UEdin,0.6754,MON-UIUC,0.5933,EPFL-JHU,0.4905,MON-UEdin,0.8801,MON-UEdin,0.8795
JHU-HKU,0.5289,UCam-Georgia Tech,0.4925,HKU-Oxon,0.5318,JHU-MON,0.6731,MON-Oxon,0.5915,Georgia Tech-JHU,0.4896,HKU-UCL,0.8776,UIUC-UEdin,0.8789
UCL-Oxon,0.5282,UCL-CMU,0.4903,MON-HKU,0.528,MON-UCL,0.6718,MON-EPFL,0.5859,CMU-UIUC,0.4875,MON-HKU,0.8761,EPFL-Georgia Tech,0.8785
UIUC-UEdin,0.5277,UCL-HKU,0.4902,MON-EPFL,0.5247,UCL-HKU,0.6713,EPFL-MON,0.581,JHU-Georgia Tech,0.4843,CMU-UIUC,0.8754,Georgia Tech-UIUC,0.8784
UIUC-EPFL,0.5275,MON-EPFL,0.4899,EPFL-Georgia Tech,0.5183,UCL-EPFL,0.6693,UCL-MON,0.5807,Georgia Tech-EPFL,0.4807,UIUC-JHU,0.8736,Georgia Tech-Oxon,0.8777
JHU-Georgia Tech,0.5254,EPFL-JHU,0.4891,Georgia Tech-UIUC,0.5171,HKU-MON,0.667,MON-UCam,0.5803,UIUC-UEdin,0.4797,EPFL-Oxon,0.8685,EPFL-JHU,0.8765
JHU-UIUC,0.525,UIUC-Georgia Tech,0.4886,MON-UIUC,0.5157,Georgia Tech-Oxon,0.6665,EPFL-UIUC,0.5791,Georgia Tech-UIUC,0.4777,UEdin-EPFL,0.8672,UCL-HKU,0.8762
CMU-UIUC,0.5237,UCL-MON,0.4861,JHU-HKU,0.5153,HKU-Oxon,0.6645,JHU-UEdin,0.5774,UCL-CMU,0.474,JHU-UCL,0.8664,Georgia Tech-EPFL,0.8737
MON-Georgia Tech,0.5223,EPFL-UIUC,0.486,UCL-HKU,0.5147,EPFL-Oxon,0.6643,HKU-CMU,0.5761,UCL-EPFL,0.4721,HKU-EPFL,0.866,MON-Oxon,0.8726
EPFL-UIUC,0.5209,HKU-CMU,0.4857,UCam-Georgia Tech,0.5146,JHU-UEdin,0.6638,Georgia Tech-Oxon,0.5756,MON-Georgia Tech,0.4717,JHU-EPFL,0.8655,HKU-UCL,0.8717
JHU-EPFL,0.5186,MON-HKU,0.4826,Georgia Tech-CMU,0.5138,MON-Georgia Tech,0.6608,JHU-Oxon,0.5722,MON-Oxon,0.4715,UEdin-UCL,0.8643,MON-EPFL,0.8716
HKU-UIUC,0.5182,CMU-Georgia Tech,0.4749,Georgia Tech-MON,0.5116,UCL-MON,0.6605,JHU-CMU,0.5689,Georgia Tech-CMU,0.4707,EPFL-Georgia Tech,0.864,JHU-UIUC,0.8709
UCL-JHU,0.5175,EPFL-CMU,0.4741,EPFL-MON,0.5082,UEdin-UIUC,0.6597,UIUC-UCam,0.5685,UIUC-CMU,0.4671,CMU-Georgia Tech,0.8629,HKU-Oxon,0.8707
HKU-Georgia Tech,0.5173,Georgia Tech-MON,0.4707,UCL-MON,0.506,JHU-Georgia Tech,0.6592,Georgia Tech-JHU,0.5634,EPFL-CMU,0.4661,MON-CMU,0.8607,UCL-EPFL,0.8698
UIUC-Georgia Tech,0.5155,JHU-Oxon,0.4703,CMU-UCL,0.5043,CMU-JHU,0.6586,HKU-Oxon,0.5626,EPFL-MON,0.4651,MON-Oxon,0.8593,HKU-MON,0.8697
