Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCam-U of T,0.4956,HKU-YU,0.5275,CMU-U of T,0.5751,MIT-UCam,0.6922,EPFL-HKU,0.6044,MIT-HKU,0.5370,UCam-UWaterloo,0.8726,HKU-UCam,0.8750
Oxon-EPFL,0.4954,HKU-U of T,0.5272,UCam-HU,0.5747,MIT-HKU,0.6917,UCam-HKU,0.6010,HU-UCam,0.5319,U of T-UCL,0.8720,HKU-U of T,0.8746
U of T-EPFL,0.4950,HU-HKU,0.5263,UIUC-HKU,0.5724,MIT-UIUC,0.6903,HU-U of T,0.5985,HKU-CMU,0.5303,U of T-NTU,0.8714,EPFL-HKU,0.8741
MIT-NTU,0.4948,Oxon-UIUC,0.5243,U of T-NTU,0.5708,MIT-Oxon,0.6892,HKU-NTU,0.5975,EPFL-HKU,0.5286,UWaterloo-EPFL,0.8707,U of T-NTU,0.8731
U of T-UCam,0.4941,U of T-NTU,0.5189,EPFL-HKU,0.5695,MIT-UCL,0.6890,Georgia Tech-HKU,0.5954,MIT-UCL,0.5282,UCam-NTU,0.8696,HKU-Oxon,0.8731
UCL-MIT,0.4922,UCL-HU,0.5135,CMU-UIUC,0.5686,MIT-NTU,0.6889,MIT-UIUC,0.5944,HU-UCL,0.5278,UCL-UWaterloo,0.8691,EPFL-UCam,0.8723
HKU-EPFL,0.4914,UCL-HKU,0.5106,MIT-NTU,0.5686,Oxon-U of T,0.6867,U of T-UCL,0.5940,Oxon-HU,0.5265,U of T-HKU,0.8691,U of T-HKU,0.8722
Oxon-UIUC,0.4900,MIT-HU,0.5081,Georgia Tech-UCL,0.5683,UCL-NTU,0.6848,HU-CMU,0.5924,Oxon-YU,0.5216,UCam-UCL,0.8682,EPFL-UCL,0.8720
MIT-HU,0.4892,MIT-NTU,0.5069,Oxon-EPFL,0.5668,Oxon-EPFL,0.6821,U of T-CMU,0.5924,UCL-Oxon,0.5163,HKU-U of T,0.8680,MIT-NTU,0.8718
HKU-YU,0.4883,CMU-HKU,0.5050,UCam-UCL,0.5666,HU-UCam,0.6808,Georgia Tech-UIUC,0.5917,U of T-MIT,0.5151,UWaterloo-UIUC,0.8675,Oxon-YU,0.8716
U of T-YU,0.4852,UCam-U of T,0.5047,HKU-EPFL,0.5660,MIT-YU,0.6804,U of T-UCam,0.5903,MIT-HU,0.5127,UIUC-HKU,0.8672,UCL-NTU,0.8714
EPFL-UWaterloo,0.4851,EPFL-UCL,0.5038,UCam-U of T,0.5569,UCL-HKU,0.6788,HU-UCam,0.5850,HU-Oxon,0.5101,HKU-EPFL,0.8666,UCL-U of T,0.8713
HKU-MIT,0.4843,HU-UCam,0.4942,U of T-EPFL,0.5543,U of T-YU,0.6765,UCL-Oxon,0.5834,MIT-U of T,0.5097,HU-HKU,0.8665,Oxon-MIT,0.8710
UCL-Georgia Tech,0.4814,MIT-U of T,0.4899,EPFL-UCL,0.5535,HU-UCL,0.6761,HU-Oxon,0.5821,HU-MIT,0.5085,Oxon-UWaterloo,0.8662,MIT-UCL,0.8701
MIT-UCL,0.4807,UCL-UCam,0.4885,CMU-UCL,0.5523,YU-UCam,0.6759,HU-UCL,0.5817,HU-UIUC,0.5084,UCL-Georgia Tech,0.8660,HU-HKU,0.8699
HU-UCL,0.4805,UIUC-HKU,0.4846,Georgia Tech-HU,0.5469,U of T-UIUC,0.6751,Oxon-UWaterloo,0.5772,HKU-YU,0.5082,EPFL-UCL,0.8659,U of T-UIUC,0.8699
HU-EPFL,0.4781,U of T-MIT,0.4829,UCL-HU,0.5462,HU-EPFL,0.6748,HU-EPFL,0.5750,Oxon-CMU,0.5077,MIT-HKU,0.8657,Oxon-CMU,0.8696
UCam-YU,0.4780,Georgia Tech-UCL,0.4819,U of T-Oxon,0.5436,CMU-U of T,0.6744,HKU-EPFL,0.5744,HKU-MIT,0.5076,UCL-HKU,0.8655,UCL-HKU,0.8687
Oxon-YU,0.4778,HU-U of T,0.4816,HU-UCL,0.5434,UCL-Oxon,0.6717,UCam-UWaterloo,0.5741,EPFL-UCam,0.5060,MIT-HU,0.8641,Oxon-EPFL,0.8683
UCam-HU,0.4763,UCL-NTU,0.4800,Georgia Tech-HKU,0.5427,CMU-UIUC,0.6712,HU-UIUC,0.5740,U of T-EPFL,0.5059,CMU-UWaterloo,0.8637,UCam-HKU,0.8680
CMU-U of T,0.4757,Oxon-EPFL,0.4779,Oxon-MIT,0.5415,MIT-U of T,0.6703,UCL-UCam,0.5739,UCam-HKU,0.5058,UWaterloo-HU,0.8631,HKU-EPFL,0.8678
UCL-U of T,0.4745,EPFL-Oxon,0.4768,UCL-U of T,0.5369,Oxon-MIT,0.6695,Georgia Tech-HU,0.5736,EPFL-Oxon,0.5046,YU-Oxon,0.8624,UIUC-UCL,0.8672
UCam-HKU,0.4730,HKU-EPFL,0.4753,UCL-NTU,0.5362,Georgia Tech-HU,0.6688,MIT-HKU,0.5717,MIT-CMU,0.5032,NTU-UIUC,0.8620,Georgia Tech-UCL,0.8670
UCam-EPFL,0.4719,MIT-Oxon,0.4743,U of T-CMU,0.5360,MIT-EPFL,0.6682,EPFL-CMU,0.5702,EPFL-UCL,0.5019,Oxon-HKU,0.8614,EPFL-Oxon,0.8668
UCL-UCam,0.4718,UCL-U of T,0.4724,UIUC-UCL,0.5347,CMU-HU,0.6674,MIT-NTU,0.5683,CMU-UIUC,0.5015,UWaterloo-U of T,0.8606,HKU-UIUC,0.8667
U of T-Oxon,0.4715,HKU-CMU,0.4717,UCam-UWaterloo,0.5324,EPFL-HKU,0.6674,U of T-Oxon,0.5669,HKU-UCam,0.5010,U of T-MIT,0.8602,UCL-HU,0.8666
Oxon-MIT,0.4698,UCL-UIUC,0.4709,Georgia Tech-U of T,0.5321,UCL-UCam,0.6670,UCL-HKU,0.5663,UCam-U of T,0.5000,YU-UCam,0.8600,HU-MIT,0.8663
UCL-NTU,0.4686,MIT-EPFL,0.4699,HKU-Georgia Tech,0.5292,Georgia Tech-UCL,0.6665,Oxon-Georgia Tech,0.5653,HKU-Georgia Tech,0.4994,U of T-Oxon,0.8581,U of T-Oxon,0.8655
HU-NTU,0.4684,UCL-MIT,0.4695,EPFL-HU,0.5286,CMU-EPFL,0.6652,HKU-YU,0.5651,Oxon-MIT,0.4979,HU-MIT,0.8578,CMU-HU,0.8654
HU-Oxon,0.4659,U of T-CMU,0.4692,HU-UCam,0.5283,UCam-UWaterloo,0.6650,CMU-UIUC,0.5650,UCL-UIUC,0.4926,HU-U of T,0.8573,HKU-CMU,0.8651
YU-UCam,0.4655,U of T-Oxon,0.4682,EPFL-UCam,0.5237,UCL-HU,0.6635,Oxon-MIT,0.5646,UCam-UWaterloo,0.4900,HU-EPFL,0.8567,MIT-YU,0.8646
CMU-HKU,0.4641,MIT-YU,0.4681,HKU-Oxon,0.5233,UCam-EPFL,0.6633,UCL-NTU,0.5638,MIT-NTU,0.4896,UCL-HU,0.8562,MIT-Oxon,0.8638
UCL-Oxon,0.4637,EPFL-U of T,0.4669,CMU-MIT,0.5227,EPFL-CMU,0.6613,EPFL-Oxon,0.5617,CMU-U of T,0.4893,UWaterloo-UCam,0.8558,EPFL-CMU,0.8635
U of T-UWaterloo,0.4635,HKU-MIT,0.4669,U of T-Georgia Tech,0.5196,HU-U of T,0.6607,EPFL-HU,0.5615,HU-EPFL,0.4886,U of T-UWaterloo,0.8558,UCL-UCam,0.8633
UCL-UIUC,0.4634,EPFL-HU,0.4659,HKU-UCam,0.5195,EPFL-HU,0.6605,HKU-Georgia Tech,0.5615,U of T-CMU,0.4866,NTU-UCam,0.8543,MIT-UCam,0.8632
EPFL-UCL,0.4604,UCam-UWaterloo,0.4630,Oxon-CMU,0.5186,HU-NTU,0.6601,HU-NTU,0.5600,UWaterloo-HKU,0.4859,MIT-EPFL,0.8543,HKU-UWaterloo,0.8632
MIT-EPFL,0.4593,EPFL-NTU,0.4601,HU-MIT,0.5186,EPFL-Oxon,0.6591,EPFL-UCL,0.5599,UCL-Georgia Tech,0.4856,NTU-HU,0.8543,UCL-Oxon,0.8630
NTU-HKU,0.4593,UIUC-UCL,0.4572,Oxon-YU,0.5178,YU-Oxon,0.6590,UCam-NTU,0.5598,UCL-NTU,0.4856,UWaterloo-MIT,0.8539,UIUC-U of T,0.8617
HU-CMU,0.4591,MIT-UCam,0.4571,U of T-YU,0.5163,EPFL-UCL,0.6585,UCam-EPFL,0.5591,UCam-EPFL,0.4850,EPFL-Oxon,0.8538,UCL-MIT,0.8613
U of T-CMU,0.4588,CMU-U of T,0.4529,Georgia Tech-UIUC,0.5162,Georgia Tech-UIUC,0.6580,UCL-Georgia Tech,0.5576,HKU-UWaterloo,0.4844,UCL-Oxon,0.8533,EPFL-MIT,0.8608
UCL-EPFL,0.4578,EPFL-UIUC,0.4526,MIT-EPFL,0.5158,Georgia Tech-UCam,0.6565,Georgia Tech-NTU,0.5565,U of T-Oxon,0.4814,CMU-NTU,0.8530,HU-Oxon,0.8608
