Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
MIT-CMU,0.3903,CMU-MIT,0.3861,UCam-NTU,0.4542,EPFL-MIT,0.6164,UCL-UIUC,0.4893,Georgia Tech-HU,0.4162,EPFL-UIUC,0.8302,UIUC-Georgia Tech,0.8466
CMU-UIUC,0.3899,UWaterloo-YU,0.3837,NTU-HKU,0.4540,HKU-Georgia Tech,0.6156,MIT-Oxon,0.4867,UCam-Georgia Tech,0.4133,UCam-Georgia Tech,0.8294,UIUC-Oxon,0.8462
YU-HU,0.3862,EPFL-Georgia Tech,0.3836,HU-Georgia Tech,0.4460,CMU-Oxon,0.6146,CMU-NTU,0.4845,UWaterloo-UCL,0.4115,CMU-U of T,0.8289,UCam-UIUC,0.8458
UIUC-EPFL,0.3845,NTU-UCL,0.3833,UCam-CMU,0.4398,EPFL-U of T,0.6131,CMU-MIT,0.4780,UWaterloo-YU,0.4114,CMU-Georgia Tech,0.8288,CMU-Georgia Tech,0.8453
UCam-Georgia Tech,0.3843,YU-HKU,0.3815,Georgia Tech-Oxon,0.4356,UWaterloo-Oxon,0.6130,MIT-YU,0.4771,UIUC-YU,0.4098,CMU-UIUC,0.8288,UIUC-UCam,0.8450
UCL-CMU,0.3831,Oxon-Georgia Tech,0.3795,EPFL-UWaterloo,0.4331,HKU-UWaterloo,0.6130,MIT-UCam,0.4759,CMU-EPFL,0.4097,UWaterloo-YU,0.8286,Georgia Tech-CMU,0.8447
NTU-Oxon,0.3822,UIUC-Georgia Tech,0.3788,Georgia Tech-YU,0.4273,UWaterloo-EPFL,0.6112,MIT-CMU,0.4753,Georgia Tech-MIT,0.4074,UIUC-NTU,0.8283,UCam-Georgia Tech,0.8436
UWaterloo-HKU,0.3800,UCL-EPFL,0.3768,CMU-Oxon,0.4266,EPFL-UWaterloo,0.6108,UWaterloo-U of T,0.4747,UCL-UWaterloo,0.4073,EPFL-U of T,0.8274,UWaterloo-EPFL,0.8435
EPFL-CMU,0.3794,UWaterloo-HKU,0.3765,Georgia Tech-CMU,0.4205,UCam-CMU,0.6072,UWaterloo-UCL,0.4720,UWaterloo-U of T,0.4017,CMU-EPFL,0.8274,YU-UCL,0.8431
NTU-HU,0.3792,UCL-YU,0.3737,UCL-YU,0.4157,YU-HU,0.6057,HU-YU,0.4687,HU-Georgia Tech,0.4014,Georgia Tech-U of T,0.8268,NTU-UIUC,0.8430
CMU-UCL,0.3787,NTU-HU,0.3704,NTU-U of T,0.4149,YU-NTU,0.6050,UIUC-EPFL,0.4609,MIT-UWaterloo,0.3998,MIT-YU,0.8266,CMU-UCam,0.8430
UWaterloo-UIUC,0.3774,Georgia Tech-Oxon,0.3694,EPFL-MIT,0.4145,UIUC-CMU,0.6045,UIUC-HU,0.4576,UCL-YU,0.3938,MIT-Oxon,0.8265,YU-MIT,0.8430
UWaterloo-YU,0.3772,UCam-Georgia Tech,0.3694,NTU-MIT,0.4143,YU-UIUC,0.6026,UWaterloo-UIUC,0.4570,Georgia Tech-YU,0.3898,HU-UCam,0.8260,UWaterloo-HKU,0.8430
UWaterloo-U of T,0.3771,YU-HU,0.3692,YU-HU,0.4069,MIT-UWaterloo,0.6018,UIUC-MIT,0.4528,Georgia Tech-CMU,0.3850,YU-HU,0.8256,UCL-YU,0.8419
Oxon-Georgia Tech,0.3742,UWaterloo-Oxon,0.3670,UIUC-Oxon,0.3959,CMU-NTU,0.6018,CMU-UCam,0.4505,UWaterloo-MIT,0.3833,Oxon-YU,0.8247,Georgia Tech-Oxon,0.8413
UWaterloo-UCL,0.3740,UIUC-EPFL,0.3670,UWaterloo-UCam,0.3955,NTU-HKU,0.5975,UWaterloo-HU,0.4495,EPFL-MIT,0.3832,UIUC-HU,0.8229,MIT-UWaterloo,0.8408
UIUC-Oxon,0.3730,UWaterloo-UCam,0.3653,YU-HKU,0.3933,Georgia Tech-UWaterloo,0.5971,YU-HKU,0.4466,Georgia Tech-Oxon,0.3796,YU-UIUC,0.8229,UWaterloo-UCam,0.8408
UCL-YU,0.3702,YU-UCL,0.3610,CMU-UCam,0.3916,U of T-UWaterloo,0.5965,HU-UWaterloo,0.4461,CMU-UWaterloo,0.3788,EPFL-UCam,0.8229,NTU-MIT,0.8406
UIUC-YU,0.3687,Georgia Tech-YU,0.3606,MIT-UWaterloo,0.3879,UWaterloo-UIUC,0.5965,UWaterloo-EPFL,0.4455,CMU-NTU,0.3777,YU-MIT,0.8223,UWaterloo-NTU,0.8406
YU-UIUC,0.3676,UWaterloo-EPFL,0.3578,Georgia Tech-UWaterloo,0.3872,Georgia Tech-MIT,0.5959,Georgia Tech-UWaterloo,0.4428,CMU-Oxon,0.3765,Georgia Tech-EPFL,0.8222,HU-YU,0.8397
NTU-UCam,0.3674,CMU-EPFL,0.3576,UWaterloo-HKU,0.3869,Georgia Tech-CMU,0.5956,UCL-UWaterloo,0.4400,UWaterloo-UCam,0.3761,Georgia Tech-CMU,0.8218,UIUC-YU,0.8397
CMU-HU,0.3650,UWaterloo-NTU,0.3575,NTU-EPFL,0.3863,UIUC-EPFL,0.5954,EPFL-UWaterloo,0.4398,Georgia Tech-UCam,0.3758,YU-UWaterloo,0.8217,UCL-CMU,0.8396
EPFL-Georgia Tech,0.3624,NTU-UIUC,0.3542,NTU-HU,0.3841,UCL-UWaterloo,0.5927,UWaterloo-Georgia Tech,0.4388,UWaterloo-HU,0.3739,UCam-U of T,0.8214,UWaterloo-U of T,0.8396
CMU-Oxon,0.3592,UIUC-Oxon,0.3536,UWaterloo-Oxon,0.3829,CMU-UWaterloo,0.5927,EPFL-MIT,0.4378,EPFL-UWaterloo,0.3725,Oxon-U of T,0.8209,UCL-UWaterloo,0.8392
UWaterloo-Oxon,0.3540,MIT-UWaterloo,0.3526,NTU-UIUC,0.3823,HU-UWaterloo,0.5927,YU-UIUC,0.4278,UIUC-UCam,0.3700,UCam-UIUC,0.8207,NTU-UCL,0.8389
UIUC-U of T,0.3521,UWaterloo-MIT,0.3480,NTU-YU,0.3794,NTU-UCam,0.5906,YU-MIT,0.4270,UWaterloo-Georgia Tech,0.3691,UIUC-Georgia Tech,0.8204,YU-UCam,0.8386
UIUC-HU,0.3521,UIUC-UCam,0.3471,UWaterloo-NTU,0.3791,UIUC-MIT,0.5844,UCL-YU,0.4249,NTU-YU,0.3688,NTU-YU,0.8204,CMU-NTU,0.8386
UWaterloo-UCam,0.3501,YU-UIUC,0.3425,YU-MIT,0.3789,UWaterloo-HU,0.5840,UWaterloo-YU,0.4207,NTU-HKU,0.3639,MIT-UWaterloo,0.8201,HU-NTU,0.8382
Georgia Tech-UCL,0.3493,YU-Oxon,0.3416,YU-U of T,0.3769,NTU-YU,0.5835,UWaterloo-MIT,0.4203,Georgia Tech-EPFL,0.3639,HU-YU,0.8196,HU-UWaterloo,0.8382
UWaterloo-CMU,0.3482,CMU-Georgia Tech,0.3414,NTU-UCL,0.3766,NTU-UCL,0.5835,UIUC-Oxon,0.4189,HU-UWaterloo,0.3637,UCam-YU,0.8195,Georgia Tech-YU,0.8380
EPFL-YU,0.3481,UCL-UWaterloo,0.3410,YU-UCL,0.3748,EPFL-YU,0.5822,EPFL-YU,0.4151,UIUC-Oxon,0.3596,Oxon-EPFL,0.8179,UWaterloo-MIT,0.8376
UIUC-Georgia Tech,0.3437,Georgia Tech-EPFL,0.3388,UIUC-UCam,0.3742,Georgia Tech-EPFL,0.5807,CMU-UWaterloo,0.4139,YU-UCL,0.3580,U of T-YU,0.8176,HU-UIUC,0.8375
Georgia Tech-HU,0.3433,Georgia Tech-CMU,0.3382,UIUC-YU,0.3739,CMU-UCam,0.5806,YU-NTU,0.4127,YU-HU,0.3546,UCam-EPFL,0.8168,EPFL-YU,0.8371
YU-UWaterloo,0.3380,HU-Georgia Tech,0.3340,UWaterloo-EPFL,0.3682,UIUC-HU,0.5796,YU-UCL,0.4121,NTU-U of T,0.3520,YU-U of T,0.8167,UWaterloo-UCL,0.8370
YU-Georgia Tech,0.3374,NTU-EPFL,0.3321,HU-UWaterloo,0.3648,UIUC-U of T,0.5792,YU-HU,0.4094,YU-UIUC,0.3511,EPFL-MIT,0.8164,UIUC-UWaterloo,0.8365
YU-EPFL,0.3372,CMU-NTU,0.3307,UWaterloo-UCL,0.3598,YU-U of T,0.5785,UWaterloo-CMU,0.4080,YU-U of T,0.3500,UCam-MIT,0.8159,NTU-YU,0.8360
NTU-Georgia Tech,0.3372,UWaterloo-UIUC,0.3301,EPFL-YU,0.3509,HKU-CMU,0.5760,NTU-MIT,0.4053,CMU-UCam,0.3470,UWaterloo-CMU,0.8136,Georgia Tech-UWaterloo,0.8356
CMU-UWaterloo,0.3365,UWaterloo-HU,0.3288,UWaterloo-MIT,0.3506,YU-EPFL,0.5755,NTU-HKU,0.4048,YU-UCam,0.3450,YU-Georgia Tech,0.8132,NTU-HU,0.8353
UWaterloo-Georgia Tech,0.3359,YU-MIT,0.3287,CMU-UWaterloo,0.3493,CMU-YU,0.5749,MIT-UWaterloo,0.3990,EPFL-YU,0.3440,HKU-CMU,0.8115,NTU-Oxon,0.8348
CMU-EPFL,0.3326,UIUC-YU,0.3269,UIUC-UWaterloo,0.3485,UWaterloo-Georgia Tech,0.5746,YU-EPFL,0.3979,YU-HKU,0.3411,YU-EPFL,0.8111,HU-Georgia Tech,0.8347
Georgia Tech-UIUC,0.3314,NTU-MIT,0.3264,CMU-YU,0.3484,UIUC-Oxon,0.5733,YU-CMU,0.3956,YU-MIT,0.3398,Georgia Tech-MIT,0.8110,UWaterloo-HU,0.8338
CMU-Georgia Tech,0.3286,Georgia Tech-UWaterloo,0.3242,UWaterloo-HU,0.3471,UWaterloo-U of T,0.5708,NTU-UIUC,0.3909,UIUC-UWaterloo,0.3387,UIUC-Oxon,0.8099,YU-HKU,0.8337
Georgia Tech-MIT,0.3254,UWaterloo-UCL,0.3239,YU-UIUC,0.3465,YU-MIT,0.5680,UIUC-UCam,0.3882,CMU-YU,0.3313,MIT-UCam,0.8082,NTU-EPFL,0.8336
CMU-YU,0.3228,YU-NTU,0.3218,UCL-UWaterloo,0.3463,UIUC-UWaterloo,0.5673,YU-U of T,0.3877,UWaterloo-CMU,0.3295,CMU-MIT,0.8078,UWaterloo-UIUC,0.8334
NTU-UWaterloo,0.3227,UWaterloo-U of T,0.3214,UWaterloo-YU,0.3440,UWaterloo-MIT,0.5659,CMU-YU,0.3875,Georgia Tech-UWaterloo,0.3190,Oxon-MIT,0.8047,YU-HU,0.8330
CMU-NTU,0.3205,YU-U of T,0.3170,UWaterloo-Georgia Tech,0.3405,NTU-UIUC,0.5611,UIUC-YU,0.3769,NTU-UIUC,0.3159,CMU-UCam,0.8030,YU-UIUC,0.8325
NTU-CMU,0.3176,UIUC-UWaterloo,0.3051,YU-NTU,0.3363,UIUC-NTU,0.5564,YU-Georgia Tech,0.3758,NTU-UCL,0.3140,NTU-CMU,0.8027,UWaterloo-Georgia Tech,0.8321
CMU-UCam,0.3145,CMU-UWaterloo,0.2988,UWaterloo-U of T,0.3351,HKU-MIT,0.5539,NTU-U of T,0.3641,NTU-MIT,0.3041,UCL-CMU,0.8000,YU-Oxon,0.8312
YU-CMU,0.3135,CMU-Oxon,0.2985,UWaterloo-UIUC,0.3349,UWaterloo-CMU,0.5527,YU-UCam,0.3592,YU-NTU,0.3037,Oxon-CMU,0.7988,NTU-UCam,0.8302
Georgia Tech-CMU,0.3127,UWaterloo-Georgia Tech,0.2962,YU-Georgia Tech,0.3312,NTU-EPFL,0.5497,NTU-YU,0.3528,YU-CMU,0.2981,UIUC-UWaterloo,0.7976,YU-U of T,0.8295
UIUC-UCam,0.3056,YU-EPFL,0.2936,NTU-Georgia Tech,0.3249,YU-Georgia Tech,0.5479,UIUC-UWaterloo,0.3465,NTU-EPFL,0.2963,UCam-CMU,0.7920,UWaterloo-CMU,0.8283
UWaterloo-HU,0.3031,YU-CMU,0.2883,YU-CMU,0.3170,NTU-MIT,0.5466,NTU-UCL,0.3424,NTU-UCam,0.2924,UIUC-UCam,0.7889,UWaterloo-YU,0.8279
Georgia Tech-EPFL,0.2969,UWaterloo-CMU,0.2881,YU-EPFL,0.3150,UIUC-UCam,0.5373,NTU-EPFL,0.3419,YU-Georgia Tech,0.2875,UCL-YU,0.7884,CMU-YU,0.8268
Georgia Tech-U of T,0.2842,HU-UWaterloo,0.2878,NTU-CMU,0.3067,YU-UWaterloo,0.5362,NTU-HU,0.3399,YU-EPFL,0.2833,U of T-CMU,0.7871,YU-NTU,0.8245
Georgia Tech-UCam,0.2821,NTU-UWaterloo,0.2807,NTU-Oxon,0.3030,UIUC-YU,0.5343,YU-Oxon,0.3393,NTU-Oxon,0.2813,HU-CMU,0.7838,YU-EPFL,0.8228
Georgia Tech-YU,0.2798,NTU-Georgia Tech,0.2741,NTU-UCam,0.2957,NTU-U of T,0.5270,NTU-UCam,0.3218,NTU-HU,0.2783,Georgia Tech-YU,0.7738,NTU-UWaterloo,0.8169
Georgia Tech-HKU,0.2722,CMU-UCam,0.2704,UWaterloo-CMU,0.2818,YU-CMU,0.5235,NTU-Oxon,0.3182,YU-Oxon,0.2519,EPFL-YU,0.7647,NTU-Georgia Tech,0.8161
Georgia Tech-UWaterloo,0.2695,YU-Georgia Tech,0.2669,YU-UCam,0.2668,NTU-HU,0.5233,NTU-Georgia Tech,0.3142,NTU-CMU,0.2469,CMU-YU,0.7624,YU-Georgia Tech,0.8157
UIUC-UWaterloo,0.2657,NTU-CMU,0.2660,NTU-UWaterloo,0.2480,NTU-UWaterloo,0.5146,NTU-CMU,0.2834,YU-UWaterloo,0.2467,MIT-CMU,0.7457,NTU-CMU,0.8152
Georgia Tech-NTU,0.2655,CMU-YU,0.2456,YU-Oxon,0.2469,NTU-Georgia Tech,0.5055,YU-UWaterloo,0.2721,NTU-Georgia Tech,0.2453,YU-CMU,0.7456,YU-CMU,0.8149
Georgia Tech-Oxon,0.2471,YU-UWaterloo,0.2268,YU-UWaterloo,0.1926,NTU-CMU,0.4959,NTU-UWaterloo,0.2266,NTU-UWaterloo,0.2380,UIUC-CMU,0.7401,YU-UWaterloo,0.8056
