Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
JHU-HKU,0.5268,UCam-UIUC,0.4924,UC-Oxon,0.4992,UC-UIUC,0.6524,UIUC-CMU,0.5417,UIUC-CMU,0.5115,JHU-UC,0.8620,JHU-HKU,0.8609
UIUC-Oxon,0.5245,Oxon-JHU,0.4919,CMU-UIUC,0.4958,CMU-HKU,0.6521,Oxon-UC,0.5392,JHU-Oxon,0.5054,ICL-HKU,0.8615,UC-Oxon,0.8594
UC-UCam,0.5216,CMU-UIUC,0.4917,CMU-ICL,0.4955,UC-HKU,0.6502,HKU-Oxon,0.5295,UC-CMU,0.5051,UC-CMU,0.8612,UC-HKU,0.8591
UIUC-JHU,0.5205,UIUC-Oxon,0.4888,Oxon-UC,0.4944,CMU-UC,0.6450,UC-UIUC,0.5291,UC-UCam,0.5048,UC-Oxon,0.8579,Oxon-UC,0.8591
HKU-UC,0.5180,HKU-UC,0.4853,UC-UCam,0.4825,Oxon-UC,0.6441,UC-HKU,0.5227,UC-HKU,0.5016,JHU-UCam,0.8571,JHU-Oxon,0.8584
UC-Oxon,0.5088,JHU-Oxon,0.4842,JHU-HKU,0.4783,UC-Oxon,0.6440,UC-CMU,0.5145,HKU-UC,0.4964,Oxon-JHU,0.8565,UIUC-JHU,0.8580
Oxon-UC,0.5058,UC-CMU,0.4768,UIUC-CMU,0.4759,ICL-JHU,0.6379,HKU-JHU,0.5027,UC-UIUC,0.4952,HKU-Oxon,0.8564,ICL-Oxon,0.8569
JHU-Oxon,0.5044,Oxon-HKU,0.4695,UIUC-HKU,0.4737,UIUC-Oxon,0.6367,Oxon-ICL,0.4904,ICL-UC,0.4950,JHU-UIUC,0.8543,UC-UIUC,0.8563
JHU-CMU,0.5035,UIUC-ICL,0.4664,JHU-Oxon,0.4641,UC-CMU,0.6336,CMU-UCam,0.4880,UIUC-UC,0.4933,JHU-CMU,0.8489,UC-UCam,0.8559
JHU-ICL,0.5017,Oxon-CMU,0.4636,UC-UIUC,0.4532,UC-JHU,0.6275,JHU-ICL,0.4821,UIUC-UCam,0.4901,UIUC-JHU,0.8453,JHU-CMU,0.8558
UC-UIUC,0.4944,UIUC-UCam,0.4629,JHU-UCam,0.4518,Oxon-ICL,0.6171,HKU-UC,0.4699,UIUC-HKU,0.4806,Oxon-CMU,0.8449,CMU-HKU,0.8524
CMU-Oxon,0.4942,ICL-UC,0.4517,UC-CMU,0.4481,UC-UCam,0.6128,JHU-UCam,0.4632,JHU-CMU,0.4632,UIUC-Oxon,0.8440,JHU-UC,0.8499
CMU-HKU,0.4911,UIUC-HKU,0.4503,UC-JHU,0.4447,HKU-JHU,0.6080,Oxon-HKU,0.4623,CMU-Oxon,0.4558,JHU-Oxon,0.8427,Oxon-JHU,0.8486
CMU-ICL,0.4880,JHU-UCam,0.4473,Oxon-UCam,0.4388,Oxon-UIUC,0.6075,JHU-HKU,0.4588,JHU-UC,0.4552,ICL-UIUC,0.8414,UC-CMU,0.8474
UC-HKU,0.4841,CMU-Oxon,0.4417,JHU-CMU,0.4355,CMU-Oxon,0.6031,Oxon-CMU,0.4538,UIUC-Oxon,0.4549,UC-ICL,0.8375,CMU-UIUC,0.8473
CMU-JHU,0.4751,Oxon-UIUC,0.4417,CMU-UCam,0.4318,CMU-UCam,0.5995,Oxon-UCam,0.4522,CMU-UCam,0.4496,CMU-ICL,0.8323,Oxon-ICL,0.8460
CMU-UC,0.4748,Oxon-ICL,0.4361,UC-HKU,0.4234,JHU-Oxon,0.5799,UC-JHU,0.4509,Oxon-UC,0.4483,Oxon-HKU,0.8313,CMU-ICL,0.8443
UC-CMU,0.4744,JHU-UC,0.4313,Oxon-CMU,0.4232,Oxon-JHU,0.5703,CMU-UC,0.4455,Oxon-CMU,0.4470,CMU-UC,0.8289,JHU-UIUC,0.8436
JHU-UIUC,0.4733,CMU-UCam,0.4287,Oxon-JHU,0.4146,CMU-JHU,0.5701,JHU-CMU,0.4404,CMU-UC,0.4294,Oxon-UIUC,0.8272,ICL-UC,0.8402
Oxon-UIUC,0.4601,UIUC-CMU,0.4271,JHU-UC,0.4034,JHU-UC,0.5574,CMU-Oxon,0.4360,CMU-JHU,0.4276,Oxon-ICL,0.8253,Oxon-UCam,0.8380
CMU-UCam,0.4538,CMU-UC,0.4151,UIUC-JHU,0.4002,UCam-JHU,0.5566,JHU-UIUC,0.4329,Oxon-ICL,0.4214,ICL-Oxon,0.8230,Oxon-HKU,0.8372
UC-ICL,0.4530,JHU-ICL,0.4149,JHU-UIUC,0.3967,JHU-ICL,0.5519,Oxon-UIUC,0.4321,Oxon-HKU,0.4199,ICL-UC,0.8229,Oxon-CMU,0.8348
Oxon-JHU,0.4446,CMU-JHU,0.4036,CMU-Oxon,0.3849,JHU-HKU,0.5336,JHU-Oxon,0.4278,JHU-UIUC,0.4141,CMU-JHU,0.8213,CMU-JHU,0.8329
Oxon-CMU,0.4434,JHU-HKU,0.3969,Oxon-HKU,0.3671,JHU-UCam,0.5119,JHU-UC,0.4038,UIUC-JHU,0.3992,ICL-JHU,0.8190,CMU-UCam,0.8245
Oxon-UCam,0.4343,JHU-CMU,0.3784,CMU-JHU,0.3667,JHU-CMU,0.5107,CMU-JHU,0.3866,Oxon-UCam,0.3967,CMU-UCam,0.8174,Oxon-UIUC,0.8242
Oxon-ICL,0.4340,JHU-UIUC,0.3562,Oxon-UIUC,0.3636,JHU-UIUC,0.5042,Oxon-JHU,0.3589,Oxon-JHU,0.3929,JHU-ICL,0.8138,CMU-Oxon,0.8230
Oxon-HKU,0.4165,UIUC-JHU,0.3511,CMU-UC,0.3610,UIUC-JHU,0.4933,UIUC-JHU,0.3341,Oxon-UIUC,0.3694,CMU-Oxon,0.7950,CMU-UC,0.8127
