Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
JHU-MON,0.4152,ICL-MON,0.3164,MON-CU,0.3488,JHU-MON,0.5457,MON-Oxon,0.4196,UIUC-MIT,0.3751,MON-Oxon,0.8017,CMU-UCam,0.8418
UEdin-CMU,0.4105,ICL-UCam,0.316,UIUC-NTU,0.3485,Oxon-MON,0.5455,MON-MIT,0.4194,MIT-ICL,0.373,JHU-MIT,0.8017,NTU-Oxon,0.8415
MIT-UIUC,0.4105,UIUC-UEdin,0.3139,NTU-Oxon,0.3447,Oxon-HKU,0.5435,UCL-NTU,0.4176,CU-NTU,0.3726,UCam-UIUC,0.8016,UEdin-UIUC,0.8413
NTU-UCam,0.4084,ICL-UEdin,0.313,NTU-UIUC,0.3441,MON-JHU,0.5385,NTU-UCam,0.415,UIUC-ICL,0.371,UCam-ICL,0.7997,JHU-MON,0.8411
MON-UIUC,0.4044,UIUC-NTU,0.3066,UEdin-JHU,0.3424,Oxon-NTU,0.5341,Oxon-UCam,0.4131,ICL-JHU,0.3656,JHU-MON,0.7992,Oxon-NTU,0.8408
ICL-CU,0.3995,ICL-Oxon,0.306,UCam-UIUC,0.3374,UIUC-UCam,0.5338,MIT-UCL,0.4078,MON-JHU,0.3646,UCam-HKU,0.7989,UIUC-MON,0.8407
JHU-ICL,0.3992,CMU-ICL,0.3043,UEdin-CMU,0.3373,MON-UCam,0.5302,MON-UCam,0.4032,MON-NTU,0.3617,ICL-UIUC,0.7985,NTU-UCam,0.8403
MIT-UCam,0.3952,NTU-ICL,0.3039,NTU-UCam,0.3372,Oxon-UEdin,0.53,UEdin-CMU,0.3978,JHU-UCam,0.3599,Oxon-NTU,0.7983,JHU-ICL,0.8397
JHU-MIT,0.3917,MIT-ICL,0.3036,UCam-HKU,0.3364,Oxon-UCL,0.5268,CU-NTU,0.3968,UEdin-UIUC,0.3594,UCam-MON,0.798,UIUC-ICL,0.8392
UEdin-NTU,0.3901,UIUC-ICL,0.3033,MON-Oxon,0.3363,MON-Oxon,0.5259,MON-UIUC,0.3944,UIUC-UCam,0.3535,Oxon-MON,0.7974,HKU-UCam,0.8355
MON-JHU,0.379,NTU-UIUC,0.3018,MIT-ICL,0.3322,NTU-UCam,0.5253,CMU-UCam,0.3943,NTU-UCam,0.3382,UEdin-Oxon,0.7968,ICL-Oxon,0.8328
UEdin-CU,0.3721,ICL-MIT,0.2978,MON-MIT,0.3317,HKU-UCam,0.5233,MON-CU,0.3912,UEdin-UCam,0.3319,Oxon-ICL,0.7961,MIT-UCam,0.8327
ICL-JHU,0.3693,UEdin-UCam,0.2975,MON-JHU,0.3316,CMU-UCam,0.5214,MIT-UIUC,0.3881,MON-UCam,0.3314,UIUC-JHU,0.7958,ICL-CU,0.8326
JHU-UCam,0.3666,JHU-UCam,0.2713,UIUC-UCam,0.3267,NTU-Oxon,0.5176,JHU-UCam,0.3869,MIT-UIUC,0.3284,Oxon-UCam,0.7954,ICL-JHU,0.8325
ICL-NTU,0.3624,ICL-JHU,0.2702,ICL-NTU,0.3231,MON-CMU,0.5118,MIT-ICL,0.3859,MON-UIUC,0.3118,UEdin-JHU,0.7952,ICL-NTU,0.8293
UCam-UCL,0.3602,MIT-UCam,0.2668,MON-UCam,0.3159,CU-NTU,0.5086,UEdin-UIUC,0.3816,ICL-NTU,0.3078,JHU-UCam,0.793,UIUC-UCam,0.8289
JHU-UCL,0.3572,NTU-UCam,0.2658,UCam-ICL,0.3148,JHU-UCam,0.5075,ICL-CMU,0.3749,MON-CMU,0.3056,JHU-UIUC,0.7926,UEdin-UCam,0.8235
UEdin-UCam,0.3448,UCam-UCL,0.256,UCam-Oxon,0.3088,Oxon-UCam,0.5017,UCam-UCL,0.3631,ICL-CU,0.2933,UIUC-Oxon,0.7922,ICL-UCam,0.8216
UEdin-UIUC,0.337,UCam-UIUC,0.2496,UCam-JHU,0.2979,MIT-UCam,0.4862,UCam-UIUC,0.3478,UCam-UIUC,0.2884,UCam-NTU,0.7912,ICL-CMU,0.8213
UEdin-JHU,0.3361,ICL-CU,0.2474,ICL-CMU,0.2962,UCam-UCL,0.4811,UEdin-UCam,0.3348,UCam-UCL,0.2838,Oxon-MIT,0.7902,JHU-UCam,0.8175
ICL-CMU,0.3339,ICL-NTU,0.2403,UCam-CU,0.2907,UEdin-UCam,0.477,MON-CMU,0.3212,MIT-UCam,0.2816,NTU-JHU,0.783,UCam-UIUC,0.797
UCam-UIUC,0.3333,UCam-ICL,0.2254,MIT-UIUC,0.2883,UCam-UIUC,0.4537,UCam-HKU,0.3182,UCam-ICL,0.27,UCam-UEdin,0.7822,UCam-UCL,0.787
UCam-Oxon,0.301,ICL-CMU,0.214,UCam-MON,0.2859,UCam-MON,0.4495,MIT-UCam,0.3166,UCam-HKU,0.2343,HKU-Oxon,0.7811,UCam-ICL,0.7869
UCam-MON,0.2973,UCam-MIT,0.1764,UCam-MIT,0.2777,UCam-ICL,0.4443,UCam-ICL,0.3103,UCam-Oxon,0.2312,HKU-JHU,0.7731,UCam-MIT,0.7844
UCam-ICL,0.2887,UCam-UEdin,0.1753,UCam-CMU,0.2752,UCam-NTU,0.4429,UCam-MON,0.3052,ICL-CMU,0.2304,JHU-UEdin,0.7695,UCam-CMU,0.7806
UCam-NTU,0.2697,UCam-HKU,0.1749,UCam-UEdin,0.2708,UCam-JHU,0.4384,UCam-JHU,0.305,UCam-JHU,0.1951,UCam-JHU,0.7685,UCam-MON,0.7791
UCam-CU,0.2658,UCam-Oxon,0.1658,MON-CMU,0.2704,UCam-Oxon,0.4353,UCam-NTU,0.2991,UCam-NTU,0.1934,NTU-Oxon,0.7676,UCam-Oxon,0.7789
UCam-MIT,0.2648,UCam-MON,0.1656,MIT-UCam,0.2664,UCam-MIT,0.42,UCam-UEdin,0.2868,UCam-CU,0.1891,UCam-Oxon,0.7659,UCam-CU,0.7787
UCam-UEdin,0.2603,UCam-JHU,0.1637,UEdin-UIUC,0.2647,UCam-CU,0.4125,UCam-Oxon,0.2824,UCam-MIT,0.186,JHU-HKU,0.7622,UCam-NTU,0.7765
UCam-JHU,0.2594,UCam-CU,0.1613,UEdin-UCam,0.2642,UCam-CMU,0.4117,UCam-MIT,0.2726,UCam-MON,0.1854,Oxon-HKU,0.7556,UCam-HKU,0.7757
UCam-HKU,0.2549,UCam-NTU,0.1346,MON-UIUC,0.2587,UCam-HKU,0.3968,UCam-CU,0.2668,UCam-UEdin,0.1827,Oxon-UIUC,0.7545,UCam-UEdin,0.7746
UCam-CMU,0.2494,UCam-CMU,0.1313,UCam-NTU,0.2474,UCam-UEdin,0.3712,UCam-CMU,0.2158,UCam-CMU,0.1741,Oxon-UEdin,0.7539,UCam-JHU,0.7746
