Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
MON-UCL,0.5205,UCL-MIT,0.4894,NTU-UEdin,0.5066,UIUC-Oxon,0.6701,CMU-HKU,0.5393,CU-UEdin,0.5216,NTU-MIT,0.8859,UEdin-UCL,0.8761
UCL-ICL,0.5189,MON-HKU,0.4867,UCL-UEdin,0.5054,UCL-ICL,0.668,UIUC-ICL,0.5389,HKU-CMU,0.5212,UIUC-HKU,0.8857,ICL-HKU,0.8759
Oxon-CU,0.5186,CU-CMU,0.4864,HKU-CU,0.5051,UEdin-MIT,0.667,NTU-CMU,0.538,Oxon-HKU,0.5206,HKU-CMU,0.8853,HKU-MIT,0.8757
CU-JHU,0.517,HKU-CU,0.4857,JHU-CMU,0.5033,HKU-UIUC,0.6664,UIUC-UEdin,0.5359,HKU-NTU,0.5191,UIUC-UEdin,0.8832,CMU-HKU,0.8755
HKU-UEdin,0.5166,CMU-JHU,0.4811,CMU-HKU,0.5031,UIUC-CU,0.6647,ICL-MON,0.5334,CU-UIUC,0.5191,HKU-MON,0.8803,UEdin-HKU,0.8753
NTU-JHU,0.5159,UCL-MON,0.4789,CU-ICL,0.5005,CU-UIUC,0.6633,JHU-HKU,0.5313,JHU-CMU,0.5182,MON-NTU,0.8795,UCL-MON,0.8753
MIT-CU,0.5153,MIT-UEdin,0.4727,Oxon-UCL,0.4996,UCL-CMU,0.6587,UCL-JHU,0.5276,MON-HKU,0.5181,ICL-UCL,0.8792,CU-Oxon,0.8752
UCL-MON,0.5145,Oxon-HKU,0.4696,CMU-UCL,0.4974,CMU-HKU,0.6586,CU-UEdin,0.5263,UCL-ICL,0.5144,NTU-CMU,0.8792,ICL-UCL,0.8749
CMU-JHU,0.5145,HKU-UIUC,0.4696,Oxon-HKU,0.4951,NTU-HKU,0.6584,HKU-CMU,0.5256,Oxon-JHU,0.5107,NTU-MON,0.879,UCL-CMU,0.8748
JHU-CU,0.5134,UEdin-MON,0.466,JHU-UCL,0.4894,UIUC-MIT,0.6568,CMU-UCL,0.5255,NTU-CMU,0.505,UEdin-UIUC,0.8787,UCL-Oxon,0.8744
CMU-MIT,0.5131,ICL-HKU,0.4659,UCL-MIT,0.4887,HKU-Oxon,0.6555,UEdin-MON,0.5255,JHU-CU,0.5045,CMU-HKU,0.8778,MON-NTU,0.8742
MON-UEdin,0.5113,CMU-Oxon,0.4642,CMU-UEdin,0.4867,UCL-Oxon,0.6549,Oxon-HKU,0.5253,CMU-UEdin,0.5028,UEdin-UCL,0.8778,UCL-JHU,0.8734
Oxon-CMU,0.5083,HKU-CMU,0.4637,UCL-MON,0.4844,ICL-UIUC,0.6546,ICL-Oxon,0.5252,JHU-HKU,0.5016,UCL-ICL,0.871,MIT-Oxon,0.8732
MIT-UCL,0.5075,CU-UIUC,0.4517,CU-UCam,0.4835,MIT-UEdin,0.6529,UIUC-UCL,0.5245,MIT-HKU,0.5013,UIUC-CMU,0.8708,CU-UIUC,0.8727
CMU-Oxon,0.5071,MIT-HKU,0.4486,HKU-NTU,0.4817,MIT-HKU,0.6494,MIT-CU,0.5238,NTU-UCL,0.4988,UEdin-CU,0.8693,NTU-UCL,0.8726
UIUC-CMU,0.5061,NTU-CMU,0.4464,CMU-Oxon,0.4807,JHU-CU,0.6492,UCL-ICL,0.523,JHU-UEdin,0.4975,UEdin-ICL,0.8691,JHU-Oxon,0.8725
JHU-NTU,0.5053,Oxon-CU,0.4442,JHU-NTU,0.4689,JHU-CMU,0.6448,MON-UEdin,0.522,MON-UEdin,0.4972,CMU-UEdin,0.8687,CMU-MIT,0.8719
UCL-UIUC,0.5047,HKU-JHU,0.4436,NTU-CMU,0.4683,HKU-CMU,0.6441,Oxon-ICL,0.5212,HKU-JHU,0.4959,UCL-MON,0.8677,Oxon-CU,0.8718
Oxon-JHU,0.5043,HKU-NTU,0.4429,HKU-UIUC,0.4666,UIUC-HKU,0.6406,Oxon-CMU,0.5208,CMU-Oxon,0.4954,UCL-UCam,0.8673,NTU-CMU,0.8702
CU-MON,0.503,MIT-CU,0.441,UEdin-UCL,0.4663,UIUC-JHU,0.6393,JHU-NTU,0.5205,UCL-UEdin,0.4943,MON-UCL,0.8671,MIT-JHU,0.8689
UCL-MIT,0.5029,JHU-UEdin,0.4402,JHU-UIUC,0.4622,CU-CMU,0.638,Oxon-JHU,0.519,UCL-UCam,0.4941,CMU-UIUC,0.8667,CMU-Oxon,0.8683
NTU-UEdin,0.5023,Oxon-UEdin,0.4385,CU-UIUC,0.4586,MIT-Oxon,0.6378,CMU-CU,0.5187,Oxon-NTU,0.4939,UCL-JHU,0.8665,HKU-CMU,0.8682
