Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
NTU-CU,0.4668,Oxon-UIUC,0.3885,UC-CU,0.4643,JHU-U of T,0.6046,UEdin-CMU,0.5243,JHU-CU,0.4452,YU-UCam,0.8470,MON-UEdin,0.8556
Oxon-CU,0.4656,UIUC-YU,0.3884,UEdin-Oxon,0.4637,UC-MON,0.6045,UWaterloo-UIUC,0.5239,JHU-CMU,0.4449,Oxon-MON,0.8469,NTU-CMU,0.8550
UWaterloo-UC,0.4642,NTU-UCam,0.3874,UEdin-U of T,0.4619,UCam-JHU,0.6028,NTU-YU,0.5222,UWaterloo-UC,0.4442,HKU-NTU,0.8466,NTU-UCam,0.8542
UCam-UC,0.4630,CMU-HKU,0.3853,YU-Oxon,0.4614,CMU-YU,0.5987,UC-UCam,0.5199,JHU-UWaterloo,0.4437,UEdin-NTU,0.8462,NTU-UIUC,0.8540
Oxon-UIUC,0.4616,YU-UC,0.3852,Oxon-CMU,0.4587,UC-CMU,0.5967,UEdin-U of T,0.5127,UCam-UC,0.4410,JHU-UCam,0.8435,Oxon-UEdin,0.8537
JHU-HKU,0.4613,JHU-UIUC,0.3835,Oxon-CU,0.4585,UC-UWaterloo,0.5962,JHU-Oxon,0.5098,NTU-U of T,0.4409,Oxon-UC,0.8427,U of T-UEdin,0.8529
U of T-UWaterloo,0.4612,NTU-Oxon,0.3818,UEdin-UWaterloo,0.4581,UC-NTU,0.5918,UIUC-UWaterloo,0.5097,Oxon-JHU,0.4399,MON-UWaterloo,0.8401,UCam-UWaterloo,0.8529
NTU-U of T,0.4606,UEdin-YU,0.3815,CMU-UIUC,0.4577,U of T-UEdin,0.5911,Oxon-NTU,0.5093,YU-UC,0.4352,YU-U of T,0.8400,Oxon-JHU,0.8526
YU-CU,0.4586,Oxon-YU,0.3796,CU-UWaterloo,0.4574,YU-UEdin,0.5859,UEdin-UWaterloo,0.4962,UWaterloo-Oxon,0.4337,UC-UCam,0.8398,UC-HKU,0.8525
JHU-CU,0.4574,U of T-UWaterloo,0.3792,Oxon-MON,0.4569,UC-U of T,0.5851,Oxon-UC,0.4960,Oxon-UIUC,0.4321,Oxon-CMU,0.8396,Oxon-YU,0.8521
JHU-UEdin,0.4562,JHU-UC,0.3721,YU-UC,0.4414,UEdin-UCam,0.5829,MON-UWaterloo,0.4935,NTU-Oxon,0.4307,YU-UEdin,0.8395,CMU-UIUC,0.8516
JHU-UWaterloo,0.4535,Oxon-UC,0.3703,CU-YU,0.4368,MON-UEdin,0.5821,UWaterloo-Oxon,0.4877,JHU-UIUC,0.4293,U of T-JHU,0.8395,NTU-UEdin,0.8514
NTU-YU,0.4526,MON-UWaterloo,0.3640,UC-U of T,0.4364,CMU-U of T,0.5769,UCam-UWaterloo,0.4866,Oxon-UWaterloo,0.4265,Oxon-HKU,0.8392,UCam-UC,0.8512
JHU-UC,0.4524,UWaterloo-Oxon,0.3633,NTU-MON,0.4357,UEdin-UWaterloo,0.5763,NTU-HKU,0.4838,YU-UWaterloo,0.4261,Oxon-UIUC,0.8383,UEdin-MON,0.8505
UWaterloo-MON,0.4521,UWaterloo-CMU,0.3611,U of T-UWaterloo,0.4337,Oxon-UC,0.5749,UC-U of T,0.4838,NTU-UIUC,0.4196,U of T-NTU,0.8348,Oxon-UIUC,0.8504
NTU-MON,0.4512,UWaterloo-UEdin,0.3555,YU-UWaterloo,0.4292,UCam-NTU,0.5739,NTU-UEdin,0.4811,CMU-HKU,0.4190,HKU-JHU,0.8342,YU-UC,0.8497
CMU-HKU,0.4451,CMU-Oxon,0.3547,UC-YU,0.4277,UEdin-NTU,0.5728,UEdin-UC,0.4777,JHU-UC,0.4183,HKU-Oxon,0.8336,NTU-U of T,0.8496
NTU-UEdin,0.4409,YU-UWaterloo,0.3532,UEdin-UC,0.4259,UCam-UC,0.5677,UEdin-UIUC,0.4771,JHU-YU,0.4171,UCam-UWaterloo,0.8330,CMU-MON,0.8494
UCam-UWaterloo,0.4403,NTU-JHU,0.3517,NTU-U of T,0.4256,UCam-UWaterloo,0.5670,UC-CU,0.4761,UWaterloo-NTU,0.4164,Oxon-NTU,0.8310,Oxon-UWaterloo,0.8473
CU-UWaterloo,0.4403,UC-CU,0.3498,MON-UWaterloo,0.4250,UC-UCam,0.5660,NTU-JHU,0.4752,Oxon-UC,0.4141,CMU-U of T,0.8302,CMU-CU,0.8473
NTU-JHU,0.4402,UWaterloo-NTU,0.3497,UC-UCam,0.4247,JHU-UEdin,0.5643,UC-UWaterloo,0.4715,UC-UWaterloo,0.4137,CMU-YU,0.8301,YU-UWaterloo,0.8468
Oxon-UWaterloo,0.4386,UCam-UWaterloo,0.3488,NTU-UCam,0.4242,CMU-NTU,0.5619,UEdin-YU,0.4710,UC-HKU,0.4089,UIUC-U of T,0.8298,UEdin-CMU,0.8441
YU-UWaterloo,0.4384,JHU-YU,0.3458,NTU-Oxon,0.4229,Oxon-UWaterloo,0.5619,Oxon-JHU,0.4695,UWaterloo-MON,0.4087,Oxon-JHU,0.8262,UWaterloo-UEdin,0.8438
UC-YU,0.4371,Oxon-UWaterloo,0.3434,UC-CMU,0.4200,UC-JHU,0.5615,UC-CMU,0.4689,UC-YU,0.4075,JHU-U of T,0.8244,NTU-UC,0.8432
UEdin-UC,0.4367,UC-HKU,0.3410,Oxon-JHU,0.4191,UC-Oxon,0.5593,UC-UEdin,0.4647,UC-CU,0.4068,CMU-Oxon,0.8234,UEdin-CU,0.8422
YU-UC,0.4344,NTU-MON,0.3397,UCam-UWaterloo,0.4166,CMU-UC,0.5589,UC-NTU,0.4626,NTU-UEdin,0.4017,UEdin-YU,0.8232,CMU-Oxon,0.8414
CMU-UIUC,0.4319,UWaterloo-MON,0.3395,NTU-CMU,0.4162,Oxon-JHU,0.5556,NTU-UCam,0.4587,NTU-JHU,0.3938,UWaterloo-UCam,0.8231,UC-CMU,0.8401
Oxon-UC,0.4307,NTU-CMU,0.3363,NTU-UWaterloo,0.4160,UEdin-U of T,0.5503,UC-UIUC,0.4584,CMU-MON,0.3934,CMU-NTU,0.8215,Oxon-UC,0.8401
CMU-Oxon,0.4255,CMU-CU,0.3249,NTU-UIUC,0.4158,UEdin-JHU,0.5490,NTU-U of T,0.4564,Oxon-YU,0.3926,CU-UEdin,0.8199,NTU-UWaterloo,0.8395
CMU-MON,0.4208,NTU-UC,0.3244,NTU-UC,0.4143,NTU-YU,0.5484,CMU-HKU,0.4549,NTU-CMU,0.3880,UEdin-Oxon,0.8170,UC-YU,0.8393
UC-UCam,0.4201,UWaterloo-JHU,0.3223,UC-MON,0.4126,UEdin-MON,0.5454,Oxon-YU,0.4519,CMU-CU,0.3844,CMU-JHU,0.8156,UEdin-U of T,0.8391
Oxon-YU,0.4200,CMU-MON,0.3193,UC-JHU,0.4088,UEdin-CU,0.5453,CMU-UIUC,0.4498,UC-UCam,0.3837,HKU-YU,0.8151,UC-CU,0.8376
CMU-JHU,0.4154,UC-UIUC,0.3183,UC-UIUC,0.4063,UEdin-HKU,0.5448,NTU-CU,0.4478,CMU-UIUC,0.3823,NTU-UCam,0.8123,YU-UEdin,0.8375
CMU-UEdin,0.4134,NTU-UEdin,0.3178,UC-UWaterloo,0.4053,UEdin-CMU,0.5429,UC-JHU,0.4467,UC-UIUC,0.3758,Oxon-UWaterloo,0.8106,UEdin-UWaterloo,0.8374
CMU-CU,0.4105,CMU-U of T,0.3167,UEdin-UIUC,0.3999,CMU-UCam,0.5382,CMU-Oxon,0.4426,NTU-UC,0.3729,UWaterloo-U of T,0.8078,CMU-U of T,0.8360
UC-HKU,0.4087,CMU-UIUC,0.3148,UC-Oxon,0.3980,CMU-UWaterloo,0.5361,UC-MON,0.4423,UWaterloo-JHU,0.3700,Oxon-UEdin,0.8060,CMU-UC,0.8341
NTU-UC,0.4072,UC-U of T,0.3130,CMU-U of T,0.3920,NTU-UIUC,0.5341,Oxon-UWaterloo,0.4397,NTU-MON,0.3675,CMU-UCam,0.8045,UC-UWaterloo,0.8336
UC-CMU,0.3961,UC-YU,0.3097,CMU-CU,0.3910,CMU-JHU,0.5320,UC-Oxon,0.4365,UC-U of T,0.3653,UEdin-MON,0.7966,UC-U of T,0.8318
UC-U of T,0.3913,UC-UCam,0.3050,Oxon-UIUC,0.3867,NTU-CU,0.5319,NTU-UWaterloo,0.4365,CMU-Oxon,0.3627,MON-UEdin,0.7958,CMU-JHU,0.8303
UC-CU,0.3901,NTU-UWaterloo,0.2960,Oxon-NTU,0.3851,NTU-Oxon,0.5170,NTU-MON,0.4361,NTU-UWaterloo,0.3608,U of T-UWaterloo,0.7956,CMU-UCam,0.8301
UC-Oxon,0.3883,UC-UWaterloo,0.2865,UC-NTU,0.3779,UEdin-UIUC,0.5162,CMU-MON,0.4345,UC-CMU,0.3581,UEdin-UC,0.7950,UC-UCam,0.8299
UC-UIUC,0.3808,CMU-UCam,0.2832,CMU-Oxon,0.3717,NTU-UC,0.5072,NTU-UC,0.4301,UC-NTU,0.3555,HKU-UWaterloo,0.7944,UC-UIUC,0.8290
NTU-UWaterloo,0.3749,CMU-YU,0.2752,UEdin-YU,0.3715,NTU-UCam,0.5061,NTU-Oxon,0.4295,UC-Oxon,0.3469,UEdin-HKU,0.7940,CMU-YU,0.8282
CMU-YU,0.3738,UC-Oxon,0.2717,Oxon-UC,0.3705,NTU-HKU,0.5007,CMU-UCam,0.4233,CMU-YU,0.3275,CMU-UWaterloo,0.7913,UC-MON,0.8281
CMU-UC,0.3701,UC-CMU,0.2685,UC-UEdin,0.3677,NTU-UEdin,0.5000,NTU-CMU,0.4094,CMU-UCam,0.3261,UEdin-UCam,0.7898,UEdin-UIUC,0.8271
CMU-U of T,0.3674,CMU-NTU,0.2682,CMU-UC,0.3597,UC-UEdin,0.4975,CMU-CU,0.4059,CMU-U of T,0.3117,U of T-UEdin,0.7884,UEdin-UC,0.8255
CMU-NTU,0.3615,CMU-UC,0.2675,Oxon-UWaterloo,0.3437,UEdin-YU,0.4943,NTU-UIUC,0.3991,CMU-UC,0.3053,UEdin-CU,0.7882,UC-NTU,0.8249
UC-UWaterloo,0.3589,CMU-UEdin,0.2637,CMU-YU,0.3280,NTU-UWaterloo,0.4931,CMU-U of T,0.3796,UC-MON,0.2991,UC-UEdin,0.7877,UEdin-YU,0.8241
UC-JHU,0.3569,UC-NTU,0.2585,Oxon-YU,0.3246,NTU-MON,0.4926,CMU-UC,0.3700,UC-UEdin,0.2989,NTU-U of T,0.7873,UC-Oxon,0.8231
UC-NTU,0.3564,UC-MON,0.2438,CMU-JHU,0.3192,CMU-UEdin,0.4924,CMU-UEdin,0.3675,CMU-UEdin,0.2988,UEdin-CMU,0.7840,CMU-UWaterloo,0.8228
CMU-UCam,0.3549,UC-UEdin,0.2358,CMU-UCam,0.3185,NTU-JHU,0.4912,CMU-YU,0.3673,UC-JHU,0.2951,UEdin-UIUC,0.7811,CMU-NTU,0.8216
UC-MON,0.3397,UC-JHU,0.2175,CMU-UEdin,0.2951,NTU-CMU,0.4906,CMU-NTU,0.3398,CMU-NTU,0.2916,UEdin-U of T,0.7513,UC-JHU,0.8203
CMU-UWaterloo,0.3369,CMU-JHU,0.2150,CMU-NTU,0.2887,NTU-U of T,0.4879,CMU-JHU,0.3375,CMU-UWaterloo,0.2632,HKU-UEdin,0.7480,CMU-UEdin,0.7966
UC-UEdin,0.3013,CMU-UWaterloo,0.1850,CMU-UWaterloo,0.2143,UEdin-UC,0.4789,CMU-UWaterloo,0.2939,CMU-JHU,0.2620,CMU-UEdin,0.7269,UC-UEdin,0.7879
